nombre,sitio,website,logo,facebook,api,autoUpdate,sorteoId,raffleDate,imageUrl
El Chato,lottodigital,https://www.elchato.com.mx/,https://www.elchato.com.mx/logo512.png,https://www.facebook.com/SorteosElChato,https://1tq72u3mta.execute-api.us-east-2.amazonaws.com/prod,FALSE,244,2024-12-25T02:00:00.000Z,https://cdn.builder.io/api/v1/image/assets%2F0fd9d593201346e5969cd50df4308fa2%2F8aa44c1f22144b20a22a4e93b7b5fc2a
Combos Sonora,lottodigital,https://www.combossonora.com/,https://www.combossonora.com/logo512.png,https://www.facebook.com/profile.php?id=100078021759085,https://uhnmf3k6f1.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
Rifas Tamaulipas,lottodigital,https://www.rifastamaulipas.com/,https://www.rifastamaulipas.com/logo512.png,https://www.facebook.com/RifasTamps,https://1vnzd981ac.execute-api.us-east-1.amazonaws.com/prod,TRUE,,,
Rifas El Aguila,lottodigital,https://www.rifaselaguila.com/,https://www.rifaselaguila.com/logo512.png,https://www.facebook.com/RifasElAguila,https://11yx92hs31.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
Sorteos Salazar,lottodigital,https://www.sorteossalazar.com/,https://www.sorteossalazar.com/logo512.png,https://www.facebook.com/profile.php?id=100080937746371,https://ib292rnvjf.execute-api.us-east-2.amazonaws.com/prod,FALSE,267,2024-12-25T02:00:00.000Z,https://cdn.builder.io/api/v1/image/assets%2F44e599f06f884a8d94ea9027ea8cd1ff%2Fa931a62a784340cb813218ab42e01eb0
REA Chihuahua,lottodigital,https://www.rifasentreamigoschihuahua.com/,https://www.rifasentreamigoschihuahua.com/logo512.png,https://www.facebook.com/Rifasentreamigoschihuahua,https://0pxxnaqsyg.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
Sorteos Chiwas,lottodigital,https://www.listachiwas.com/,https://www.listachiwas.com/logo512.png,https://www.facebook.com/sortchiwa,https://53mu4cpe0i.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
Rifas JD,lottodigital,https://www.rfsjd.com/,https://www.rfsjd.com/logo512.png,https://www.facebook.com/Chihuahua06,https://2vklo1x78e.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
RE Amigos GDL,lottodigital,https://www.rfsgdl.com/,https://www.rfsgdl.com/logo512.png,https://www.facebook.com/RifasEntreAmigosGuadalajara,https://u7a6qx39ub.execute-api.us-east-2.amazonaws.com/prod,TRUE,,,
Rifas La Trocka,lottodigital,https://www.rifaslatrocka.com/,https://www.rifaslatrocka.com/logo512.png,https://www.facebook.com/profile.php?id=100057495937611,https://oynsmqzxd0.execute-api.us-east-2.amazonaws.com/prod,FALSE,205,2024-12-25T02:00:00.000Z,https://cdn.builder.io/api/v1/image/assets%2F12ebf16da21a43a29bcb3ffd8082e3a9%2Fc2f8ccd4ae20442ca6dab2203874f86b
